time,volume,open,close,high,low
2024-04-16 12:00:00+00:00,69744,94.29,94.18,94.29,94.1375
2024-04-16 13:00:00+00:00,51300,94.1775,94.27,94.27,94.14
2024-04-16 14:00:00+00:00,48822,94.265,94.3325,94.4325,94.2375
2024-04-16 15:00:00+00:00,10329,94.33,94.42,94.45,94.31
2024-04-17 04:00:00+00:00,4670,94.4,94.43,94.47,94.22
2024-04-17 05:00:00+00:00,3900,94.4275,94.385,94.4725,94.325
2024-04-17 06:00:00+00:00,17861,94.375,94.49,94.5,94.2775
2024-04-17 07:00:00+00:00,81772,94.4825,94.295,94.535,94.28
2024-04-17 08:00:00+00:00,99512,94.3,94.3775,94.405,94.26
2024-04-17 09:00:00+00:00,134849,94.3775,94.34,94.45,94.255
2024-04-17 10:00:00+00:00,92541,94.34,94.27,94.355,94.2025
2024-04-17 11:00:00+00:00,54175,94.27,94.1925,94.3275,94.175
2024-04-17 12:00:00+00:00,56177,94.195,94.26,94.29,94.19
2024-04-17 13:00:00+00:00,50956,94.2575,94.2025,94.3,94.1425
2024-04-17 14:00:00+00:00,31153,94.205,94.1525,94.21,94.07
2024-04-17 15:00:00+00:00,20550,94.15,94.27,94.33,94.1175
2024-04-18 04:00:00+00:00,3992,94.215,94.2725,94.2925,94.2
2024-04-18 05:00:00+00:00,3318,94.25,94.28,94.3225,94.25
2024-04-18 06:00:00+00:00,16190,94.295,94.2575,94.345,94.235
2024-04-18 07:00:00+00:00,75527,94.24,94.27,94.4125,94.215
2024-04-18 08:00:00+00:00,97122,94.2575,94.04,94.28,94.0
2024-04-18 09:00:00+00:00,103567,94.045,94.0275,94.175,94.0025
2024-04-18 10:00:00+00:00,119933,94.03,94.065,94.07,93.9675
2024-04-18 11:00:00+00:00,95681,94.065,93.98,94.0875,93.98
2024-04-18 12:00:00+00:00,46353,93.98,93.9125,94.0025,93.9025
2024-04-18 13:00:00+00:00,57351,93.915,93.88,93.935,93.8
2024-04-18 14:00:00+00:00,52681,93.8575,93.8525,93.925,93.82
2024-04-18 15:00:00+00:00,22291,93.8525,93.78,93.915,93.78
2024-04-19 04:00:00+00:00,9829,93.78,93.8975,93.8975,93.505
2024-04-19 05:00:00+00:00,18062,93.8975,93.76,94.0,93.64
2024-04-19 06:00:00+00:00,41960,93.795,93.9925,94.02,93.74
2024-04-19 07:00:00+00:00,116497,93.99,93.625,93.9975,93.62
2024-04-19 08:00:00+00:00,93546,93.6325,93.58,93.7,93.5725
2024-04-19 09:00:00+00:00,237499,93.5725,93.345,93.58,93.305
2024-04-19 10:00:00+00:00,121178,93.3475,93.2675,93.3475,93.07
2024-04-19 11:00:00+00:00,130614,93.2725,93.31,93.3325,93.1175
2024-04-19 12:00:00+00:00,87579,93.3075,93.18,93.325,92.99
2024-04-19 13:00:00+00:00,80704,93.185,93.1525,93.2025,92.905
2024-04-19 14:00:00+00:00,40301,93.1575,93.185,93.1875,93.0275
2024-04-19 15:00:00+00:00,14078,93.185,93.1525,93.1975,93.065
2024-04-22 04:00:00+00:00,10179,93.4975,93.305,93.4975,93.1525
2024-04-22 05:00:00+00:00,6493,93.33,93.355,93.37,93.3225
2024-04-22 06:00:00+00:00,34615,93.34,93.2,93.34,93.07
2024-04-22 07:00:00+00:00,74085,93.2,93.205,93.31,93.1325
2024-04-22 08:00:00+00:00,59739,93.2075,93.24,93.245,93.1625
2024-04-22 09:00:00+00:00,135179,93.2425,93.265,93.31,93.2375
2024-04-22 10:00:00+00:00,98222,93.26,93.28,93.2875,93.2425
2024-04-22 11:00:00+00:00,74773,93.2775,93.2875,93.35,93.25
2024-04-22 12:00:00+00:00,53473,93.2875,93.3175,93.3375,93.245
2024-04-22 13:00:00+00:00,28102,93.3075,93.32,93.3325,93.27
2024-04-22 14:00:00+00:00,77183,93.32,93.45,93.51,93.2825
2024-04-22 15:00:00+00:00,15506,93.45,93.47,93.5125,93.31
2024-04-23 04:00:00+00:00,2351,93.29,93.3675,93.4575,93.29
2024-04-23 05:00:00+00:00,1150,93.3675,93.41,93.46,93.3675
2024-04-23 06:00:00+00:00,19588,93.425,93.3575,93.435,93.3
2024-04-23 07:00:00+00:00,70882,93.35,93.2925,93.37,93.2
2024-04-23 08:00:00+00:00,84771,93.2925,93.3225,93.3625,93.27
2024-04-23 09:00:00+00:00,120313,93.325,93.3625,93.3675,93.31
2024-04-23 10:00:00+00:00,131102,93.355,93.345,93.3775,93.3125
2024-04-23 11:00:00+00:00,131934,93.345,93.0775,93.355,93.055
2024-04-23 12:00:00+00:00,99169,93.0825,93.33,93.3325,92.9525
